Carrera,MODULO,EDAD,PP,VAL,CF,MF,AF,FD,CERA,CEER,CEAD,CEMT,CEAG,IE
1,1,17,17.42,1,9.00,3.00,6.00,18.00,75.75,79.80,77.79,86.84,79.48,75.54
1,1,17,17.53,1,14.00,10.00,10.00,34.00,69.08,69.41,79.26,84.01,88.10,73.56
1,1,17,12.21,3,14.00,10.00,10.00,34.00,58.25,50.10,73.38,84.01,72.59,60.04
1,1,17,11.72,3,14.00,6.00,8.00,28.00,66.58,79.80,71.91,76.93,70.86,68.62
1,1,18,12.55,2,9.00,3.00,6.00,18.00,75.75,79.80,77.79,86.84,79.48,75.54
1,1,17,15.61,2,9.00,5.00,7.00,21.00,64.08,59.01,66.03,81.18,58.79,60.70
1,1,17,13.16,2,9.00,6.00,9.00,24.00,79.08,88.71,99.85,81.18,101.90,86.42
1,1,17,13.16,2,10.00,5.00,8.00,23.00,76.58,102.08,70.44,84.01,77.76,79.49
1,1,17,14.12,2,12.00,9.00,9.00,30.00,69.08,79.80,83.68,84.01,79.48,74.55
1,1,19,15.55,2,15.00,9.00,8.00,32.00,66.58,90.20,71.91,78.35,69.14,71.25
1,1,19,14.15,2,13.00,11.00,8.00,32.00,72.42,100.59,96.91,95.33,88.10,86.42
1,1,18,12.77,2,13.00,9.00,7.00,29.00,75.75,90.20,85.15,85.42,100.17,83.78
1,1,17,15.10,2,8.00,6.00,10.00,24.00,62.42,82.77,57.21,84.01,63.97,66.64
1,1,21,13.05,2,13.00,8.00,9.00,30.00,64.08,102.08,79.26,78.35,86.38,75.54
1,1,17,16.47,1,4.00,6.00,7.00,17.00,66.58,99.11,82.21,84.01,79.48,77.52
1,1,17,16.45,1,11.00,7.00,8.00,26.00,70.75,66.44,67.50,78.35,74.31,67.96
1,1,17,10.72,3,11.00,8.00,10.00,29.00,71.58,108.02,86.62,79.76,81.21,80.48
1,1,20,13.54,2,13.00,9.00,11.00,33.00,64.08,102.08,79.26,78.35,86.38,75.54
1,1,19,13.87,2,13.00,9.00,8.00,30.00,84.08,84.26,93.97,86.84,93.28,86.09
1,1,16,13.21,2,12.00,7.00,7.00,26.00,60.75,61.98,79.26,76.93,79.48,65.32
1,1,17,16.97,1,12.00,8.00,6.00,26.00,62.42,76.83,79.26,88.25,74.31,71.25
1,1,18,12.63,2,14.00,13.00,13.00,40.00,64.08,78.32,70.44,75.52,93.28,70.92
1,1,19,11.64,3,11.00,9.00,7.00,27.00,68.25,91.68,77.79,103.82,95.00,80.48
1,1,18,13.02,2,10.00,6.00,9.00,25.00,69.08,67.92,91.03,69.86,65.69,68.95
1,1,17,13.70,2,13.00,10.00,10.00,33.00,76.58,109.50,86.62,91.08,91.55,87.08
2,1,17,14.25,2,10.00,9.00,10.00,29.00,66.58,78.32,85.15,84.01,86.38,74.22
2,1,18,17.53,1,11.00,9.00,7.00,27.00,68.25,91.68,77.79,103.82,95.00,80.48
2,1,19,13.01,2,10.00,8.00,5.00,23.00,74.92,87.23,71.91,85.42,91.55,78.18
2,1,19,11.72,3,13.00,10.00,10.00,33.00,76.58,109.50,86.62,91.08,91.55,87.08
2,1,19,12.55,2,10.00,9.00,10.00,29.00,66.58,78.32,85.15,84.01,86.38,74.22
2,1,18,15.03,2,12.00,10.00,10.00,32.00,59.08,63.47,79.26,74.10,70.86,61.69
2,1,18,13.16,2,10.00,8.00,5.00,23.00,74.92,87.23,71.91,85.42,91.55,78.18
2,1,20,13.87,2,9.00,7.00,9.00,25.00,75.75,90.20,85.15,81.18,76.03,77.85
2,1,20,12.67,2,12.00,8.00,9.00,29.00,68.25,103.56,77.79,88.25,98.45,81.80
2,1,22,15.55,2,12.00,10.00,10.00,32.00,59.08,63.47,79.26,74.10,70.86,61.69
2,1,20,14.15,2,10.00,8.00,5.00,23.00,74.92,87.23,71.91,85.42,91.55,78.18
2,1,17,13.17,2,10.00,10.00,7.00,27.00,64.08,87.23,77.79,85.42,86.38,75.54
2,1,17,15.10,2,12.00,8.00,9.00,29.00,68.25,103.56,77.79,88.25,98.45,81.80
